3,3,8,4,2,7,1,10,6,9
3,5,8,4,2,7,1,10,6,9
3,5,8,4,2,7,1,10,6,9
3,5,8,4,2,7,1,10,6,9
3,5,8,4,2,7,1,10,6,9
3,5,8,2,2,7,1,10,6,9
3,5,8,2,4,7,1,10,6,9
2,5,8,2,4,7,1,10,6,9
2,3,8,2,4,7,1,10,6,9
2,3,4,2,4,7,1,10,6,9
2,3,4,5,4,7,1,10,6,9
2,3,4,5,8,7,1,10,6,9
2,3,4,5,8,1,1,10,6,9
2,3,4,5,8,1,7,10,6,9
2,3,4,5,8,1,7,10,6,9
2,3,4,5,8,1,7,10,6,9
2,3,4,5,8,1,7,10,6,9
2,3,4,5,8,1,7,10,6,9
2,3,4,5,8,1,7,10,6,9
2,3,4,5,8,1,7,10,6,9
2,3,4,5,8,1,6,10,6,9
2,3,4,5,8,1,6,7,6,9
2,3,4,5,8,1,6,7,9,9
2,3,4,5,8,1,6,7,9,10
1,3,4,5,8,1,6,7,9,10
1,2,4,5,8,1,6,7,9,10
1,2,3,5,8,1,6,7,9,10
1,2,3,4,8,1,6,7,9,10
1,2,3,4,5,1,6,7,9,10
1,2,3,4,5,6,6,7,9,10
1,2,3,4,5,6,7,7,9,10
1,2,3,4,5,6,7,8,9,10
1,2,3,4,5,6,7,8,9,10
1,2,3,4,5,6,7,8,9,10
