5,3,8,4,2,7,1,10,6,9
5,3,8,4,2,7,1,10,6,9
5,3,8,4,2,7,1,10,6,9
5,3,8,4,2,7,1,10,6,9
5,3,8,4,2,7,1,10,6,9
5,3,8,4,2,7,1,10,6,9
5,3,8,4,2,7,1,10,6,9
5,3,8,4,2,7,1,6,10,9
5,3,8,4,2,7,1,6,9,10
5,3,8,4,2,7,1,6,9,10
5,3,8,4,2,7,1,6,9,10
5,3,4,8,2,7,1,6,9,10
5,3,4,2,8,7,1,6,9,10
5,3,4,2,1,7,8,6,9,10
5,3,4,2,1,6,8,7,9,10
1,3,4,2,5,6,8,7,9,10
1,3,4,2,5,6,8,7,9,10
1,3,4,2,5,6,8,7,9,10
1,3,4,2,5,6,8,7,9,10
1,3,4,2,5,6,8,7,9,10
1,2,4,3,5,6,8,7,9,10
1,2,3,4,5,6,8,7,9,10
1,2,3,4,5,6,7,8,9,10
